CURRENT_ENERGY_RATING,below_c,LODGEMENT_DATE,PROPERTY_TYPE,BUILT_FORM,AGE_BAND_CLEAN,TOTAL_FLOOR_AREA,NUMBER_HABITABLE_ROOMS,MAIN_FUEL_CAT,GLAZED_AREA,WALL_CATEGORY,ROOF_CATEGORY,WINDOW_CATEGORY,HEATING_CATEGORY,LOW_ENERGY_LIGHTING,MECHANICAL_VENTILATION,REPORT_TYPE,PHOTO_SUPPLY,SOLAR_WATER_HEATING_FLAG,FLOOR_HEIGHT
E,1,2022-01-11,House,Mid-Terrace,1950-1966,42.0,3.0,Electricity,Normal,No insulation,No exposed roof / premises above,Full double glazing,Electric room/resistance heating,67.0,natural,100,0.0,N,2.46
C,0,2022-01-11,House,Mid-Terrace,1900-1929,97.0,6.0,Mains gas,Normal,No insulation,200-299 mm,Partial/mostly double glazing,Gas boiler,100.0,natural,100,0.0,N,2.6
C,0,2022-01-11,Flat,End-Terrace,1991-1995,67.0,3.0,Electricity,Normal,Insulated,Insulated - unspecified,Full double glazing,Electric storage heaters,100.0,natural,100,0.0,N,2.32
D,1,2022-01-12,House,Mid-Terrace,1930-1949,68.0,4.0,Mains gas,Normal,Insulated,<100 mm,Full double glazing,Gas boiler,80.0,natural,100,0.0,Y,2.48
D,1,2022-01-12,House,Mid-Terrace,before 1900,71.0,5.0,Mains gas,Normal,No insulation,100-199 mm,Full double glazing,Gas boiler,100.0,natural,100,0.0,N,2.56
D,1,2022-01-12,House,Semi-Detached,1950-1966,90.0,5.0,Mains gas,Normal,Insulated,200-299 mm,Full double glazing,Gas boiler,9.0,natural,100,0.0,N,2.46
C,0,2022-01-12,House,Mid-Terrace,1900-1929,81.0,5.0,Mains gas,Normal,No insulation,<100 mm,Full double glazing,Gas boiler,100.0,natural,100,0.0,N,2.69
C,0,2022-01-12,House,End-Terrace,2007-2011,75.0,4.0,Mains gas,Normal,Insulated,200-299 mm,Full double glazing,Electric room/resistance heating,100.0,"mechanical, supply and extract",100,0.0,N,2.4
C,0,2022-01-12,Bungalow,Detached,2007-2011,87.0,3.0,Mains gas,Normal,Insulated,200-299 mm,Full double glazing,Electric room/resistance heating,100.0,"mechanical, supply and extract",100,0.0,N,2.3
D,1,2022-01-12,House,Mid-Terrace,before 1900,65.0,5.0,Mains gas,Normal,No insulation,No insulation,Full double glazing,Gas boiler,88.0,natural,100,0.0,N,2.59
C,0,2022-01-12,House,Mid-Terrace,2007-2011,75.0,4.0,Mains gas,Normal,Insulated,200-299 mm,Full double glazing,Electric room/resistance heating,100.0,"mechanical, supply and extract",100,0.0,N,2.4
C,0,2022-01-12,Maisonette,Semi-Detached,1983-1990,80.0,5.0,Mains gas,Normal,Insulated,Insulated - unspecified,Full double glazing,Gas boiler,64.0,natural,100,0.0,N,2.49
C,0,2022-01-12,House,End-Terrace,2007-2011,75.0,3.0,Mains gas,Normal,Insulated,200-299 mm,Full double glazing,Electric room/resistance heating,100.0,"mechanical, supply and extract",100,0.0,N,2.4
C,0,2022-01-12,House,End-Terrace,1930-1949,74.0,4.0,Mains gas,Normal,Insulated,100-199 mm,Full double glazing,Gas boiler,100.0,natural,100,0.0,N,2.5
C,0,2022-01-12,House,Mid-Terrace,before 1900,68.0,4.0,Mains gas,Normal,No insulation,<100 mm,Full double glazing,Gas boiler,93.0,natural,100,0.0,N,2.57
C,0,2022-01-12,House,End-Terrace,2007-2011,87.0,4.0,Mains gas,Normal,Insulated,300+ mm,Full double glazing,Electric room/resistance heating,100.0,"mechanical, supply and extract",100,0.0,N,2.4
C,0,2022-01-12,House,End-Terrace,2007-2011,86.0,5.0,Mains gas,Normal,Insulated,300+ mm,Full double glazing,Electric room/resistance heating,100.0,"mechanical, supply and extract",100,0.0,N,2.4
C,0,2022-01-12,Flat,Semi-Detached,1930-1949,62.0,3.0,Mains gas,Normal,Insulated,No exposed roof / premises above,Full double glazing,Gas boiler,50.0,natural,100,0.0,N,2.5
C,0,2022-01-12,House,End-Terrace,2007-2011,87.0,4.0,Mains gas,Normal,Insulated,300+ mm,Full double glazing,Electric room/resistance heating,100.0,"mechanical, supply and extract",100,0.0,N,2.4
